eCash,XEC,$0.000025645789,https://www.coingecko.com/en/coins/ecash,https://www.coingecko.com/coins/16646/sparkline
OKC,OKT,$27.63,https://www.coingecko.com/en/coins/okc-token,https://www.coingecko.com/coins/13708/sparkline
Flare Network,FLR,$0.041037269147,https://www.coingecko.com/en/coins/flare-network,https://www.coingecko.com/coins/28624/sparkline
BitDAO,BIT,$0.455446,https://www.coingecko.com/en/coins/bitdao,https://www.coingecko.com/coins/17627/sparkline
Rocket Pool,RPL,$25.45,https://www.coingecko.com/en/coins/rocket-pool,https://www.coingecko.com/coins/2090/sparkline
Gate,GT,$3.32,https://www.coingecko.com/en/coins/gatetoken,https://www.coingecko.com/coins/8183/sparkline
NEO,NEO,$6.84,https://www.coingecko.com/en/coins/neo,https://www.coingecko.com/coins/480/sparkline
Tether Gold,XAUT,"$1,848.58",https://www.coingecko.com/en/coins/tether-gold,https://www.coingecko.com/coins/10481/sparkline
cDAI,CDAI,$0.022152024986,https://www.coingecko.com/en/coins/compound-dai,https://www.coingecko.com/coins/9281/sparkline
THORChain,RUNE,$1.45,https://www.coingecko.com/en/coins/thorchain,https://www.coingecko.com/coins/6595/sparkline
Synthetix Network,SNX,$1.80,https://www.coingecko.com/en/coins/synthetix-network-token,https://www.coingecko.com/coins/3406/sparkline
Curve DAO,CRV,$0.651006,https://www.coingecko.com/en/coins/curve-dao-token,https://www.coingecko.com/coins/12124/sparkline
Zilliqa,ZIL,$0.024524581633,https://www.coingecko.com/en/coins/zilliqa,https://www.coingecko.com/coins/2687/sparkline
NEXO,NEXO,$0.737706,https://www.coingecko.com/en/coins/nexo,https://www.coingecko.com/coins/3695/sparkline
Frax Share,FXS,$5.51,https://www.coingecko.com/en/coins/frax-share,https://www.coingecko.com/coins/13423/sparkline
Osmosis,OSMO,$0.759523,https://www.coingecko.com/en/coins/osmosis,https://www.coingecko.com/coins/16724/sparkline
Arweave,AR,$7.66,https://www.coingecko.com/en/coins/arweave,https://www.coingecko.com/coins/4343/sparkline
Mina Protocol,MINA,$0.477728,https://www.coingecko.com/en/coins/mina-protocol,https://www.coingecko.com/coins/15628/sparkline
cETH,CETH,$26.70,https://www.coingecko.com/en/coins/compound-ether,https://www.coingecko.com/coins/10643/sparkline
ImmutableX,IMX,$0.489402,https://www.coingecko.com/en/coins/immutablex,https://www.coingecko.com/coins/17233/sparkline
GMX,GMX,$44.16,https://www.coingecko.com/en/coins/gmx,https://www.coingecko.com/coins/18323/sparkline
EthereumPoW,ETHW,$3.42,https://www.coingecko.com/en/coins/ethereumpow,https://www.coingecko.com/coins/26997/sparkline
BTSE Token,BTSE,$2.27,https://www.coingecko.com/en/coins/btse-token,https://www.coingecko.com/coins/10807/sparkline
Radix,XRD,$0.035443458779,https://www.coingecko.com/en/coins/radix,https://www.coingecko.com/coins/4374/sparkline
XDC Network,XDC,$0.025686298228,https://www.coingecko.com/en/coins/xdc-network,https://www.coingecko.com/coins/2912/sparkline
1inch,1INCH,$0.430354,https://www.coingecko.com/en/coins/1inch,https://www.coingecko.com/coins/13469/sparkline
GALA,GALA,$0.042574384923,https://www.coingecko.com/en/coins/gala,https://www.coingecko.com/coins/12493/sparkline
Stacks,STX,$0.235452,https://www.coingecko.com/en/coins/stacks,https://www.coingecko.com/coins/2069/sparkline
Bitcoin,BTC,"$17,318.16",https://www.coingecko.com/en/coins/bitcoin,https://www.coingecko.com/coins/1/sparkline
